index	dsets	type	clcount	totSize
http://bio2rdf.org/gi_vocabulary:	8	unpublishedVocab	1	
http://bio2rdf.org/noncode_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/nikkaji_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/goeco_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/medlineplus_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/po_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/intact_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/irefindex.irogid_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/irefindex.irigid_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/irefindex.icrogid_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/irefindex.icrigid_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/irefindex.crogid_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/irefindex.crigid_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/ipi_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/hp_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/inchi_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/meddra_vocabulary:	3	unpublishedVocab	1	
http://bio2rdf.org/imgt_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/imga_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/img_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/id_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/icdo_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/icd9_vocabulary:	3	unpublishedVocab	1	
http://bio2rdf.org/icd10_vocabulary:	3	unpublishedVocab	1	
http://bio2rdf.org/humancyc_vocabulary:	33	unpublishedVocab	1	
http://bio2rdf.org/irefindex.rigid_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/irefindex.rogid_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/hgnc.symbol_vocabulary:	5	unpublishedVocab	1	
http://bio2rdf.org/issn_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/matrixdb_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/luo_lincrna_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/gtp_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/lncrna_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/lipidmaps_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/lipidbank_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/hagr_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/ligandbox_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/knapsack_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/hamap_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/kegg.pathway_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/kegg.glycan_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/kegg.drug_vocabulary:	33	unpublishedVocab	1	
http://bio2rdf.org/jcggdb_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/iuphar_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/iuphar.receptor_vocabulary:	33	unpublishedVocab	1	
http://bio2rdf.org/iuphar.ligand_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/pirsf_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/priam_vocabulary:	1	unpublishedVocab	1	
http://jcggdb.jp/rdf/diseases/paconto#	1	unpublishedVocab	1	
http://bio2rdf.org/vz_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/ensembl_vocabulary:	7	unpublishedVocab	1	
http://bio2rdf.org/eom_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/zfin_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/ypo_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/epcc_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/wikipedia_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/wbphenotype_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/wbbt_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/vega_vocabulary:	5	unpublishedVocab	1	
http://bio2rdf.org/umbbd.reaction_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/v_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/utoronto_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/uspto_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/unists_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/uniprot_vocabulary:	10	unpublishedVocab	1	
http://bio2rdf.org/unipathway_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/unigene_vocabulary:	4	unpublishedVocab	1	
http://bio2rdf.org/umls_vocabulary:	4	unpublishedVocab	1	
http://bio2rdf.org/ed_vocabulary:	1	unpublishedVocab	1	
http://data.bioontology.org/metadata/	1	unpublishedVocab	1	
http://data.bioontology.org/metadata/obo/	1	unpublishedVocab	1	
http://bio2rdf.org/eco_vocabulary:	5	unpublishedVocab	1	
http://bio2rdf.org/huge_vocabulary:	33	unpublishedVocab	1	
http://bio2rdf.org/chebi_vocabulary:	3	unpublishedVocab	1	
http://bio2rdf.org/chemspider_vocabulary:	2	unpublishedVocab	1	
http://identifiers.org/uniprot/	1	unpublishedVocab	1	
http://identifiers.org/pdb/	1	unpublishedVocab	1	
http://bio2rdf.org/cog_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/coil_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/come_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/corum_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/cygd_vocabulary:	1	unpublishedVocab	1	
http://gtps.ddbj.nig.ac.jp/core/qualifier/	1	unpublishedVocab	1	
http://bio2rdf.org/dailymed_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/datahub_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/dip_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/do_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/dpd_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/ec_vocabulary:	6	unpublishedVocab	1	
http://bio2rdf.org/umbbd_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/umbbd.pathway_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/prints_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/reactome_vocabulary:	3	unpublishedVocab	1	
http://bio2rdf.org/scop_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/sabiork_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/rnacentral_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/rhea_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/rgd_vocabulary:	3	unpublishedVocab	1	
http://bio2rdf.org/rgap_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/resid_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/genatlas_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/rapdb_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/umbbd.enzyme_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/genbank_vocabulary:	6	unpublishedVocab	1	
http://bio2rdf.org/pubchem.substance_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/pubchem.compound_vocabulary:	3	unpublishedVocab	1	
http://bio2rdf.org/psi.mi_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/pseudomonas_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/pseudocap_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/prosite_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/prodom_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/gb_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/fma_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/signalp_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/skos:	11	unpublishedVocab	1	
http://bio2rdf.org/ucsc_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/ucsc_genes_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/ttd_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/trembl_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/tmhmm_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/tigr_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/tcdb_vocabulary:	2	unpublishedVocab	1	
http://bio2rdf.org/fbbt_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/tair_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/superfamily_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/stitch_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/solgenomics_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/so_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/flybase_vocabulary:	3	unpublishedVocab	1	
http://bio2rdf.org/snomedct_vocabulary:	3	unpublishedVocab	1	
http://bio2rdf.org/smart_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/skos_vocabulary:	1	unpublishedVocab	1	
http://bio2rdf.org/pmrna_vocabulary:	1	unpublishedVocab	1	
